Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
Видеокарта Palit RTX4070Ti GAMEROCK 12GB,93610,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,2610.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,3,4.0
"Видеокарта GIGABYTE GeForce RTX 4090 Gaming 24G (GV-N4090GAMING-24GD), Retail",166700,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2520.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта Sapphire PULSE Radeon RX 5700 XT BE 8GB (11293-09-20G), Retail",41900,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1670.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 6 pin,5120x2880,4,7.0
"Видеокарта GIGABYTE GeForce RTX 3060 Ti EAGLE 8G (GV-N306TEAGLE-8GD), Retail",42279,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 4070 Ti GAMING TRIO 12G, Retail",98700,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,2310.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
"Видеокарта HP Quadro P400 2GB (1ME43AA), Retail",17000,Retail,профессиональная,нет,2048.0,GDDR5,4000.0,64.0,954.0,"выход DisplayPort, выход DisplayPort x 3, выход Mini DisplayPort x 3",PCI Express 3.0,нет,8 pin,5120x2880,4,14.0
Видеокарта Gigabyte GeForce RTX 3060 EAGLE OC 12G RTL,43446,Retail,игровая,необходимость дополнительного питания,12000.0,GDDR6,15000.0,192.0,1807.0,"выход DisplayPort, выход HDMI, PCI-E",PCI Express 4.0,NVIDIA CUDA,8 pin,7680x4320,4,8.0
Видеокарта 8 Гб Asus GeForce RTX 3070 Turbo V2 LHR (TURBO-RTX3070-8G-V2) oem,72408,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,выход HDMI,PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта ZOTAC RTX 4070 Ti AMP EXTREME AIRO 12GB (ZT-D40710B-10P), Retail",87499,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2310.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",16 pin,7680x4320,4,4.0
Видеокарта Palit GeForce GT 710 PA-GT710-2GD3H PCI-E 2048Mb DDR3 64 Bit OEM (NEAT7100HD46-2080H),5680,Retail,игровая,нет,2048.0,GDDR3,1600.0,64.0,954.0,"выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,2560x1600,2,28.0
"Неисправная видеокарта для Asus G750GX, G750JX_MXM_N14E-GS Rev:2.1, N14E-GS-A1 Nvidis GeForce GTX770 3Gb GDDR5 (с разбора)",13628,Retail,игровая,нет,3072.0,GDDR5,4000.0,192.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта Asus PCI-E 4.0 ROG-STRIX-RX6650XT-O8G-GAMING AMD Radeon RX 6650XT 8192Mb 128 GDDR6 2382/16000 HDMIx1 DPx3 HDCP Ret,41593,Retail,игровая,нет,8192.0,GDDR6,14000.0,128.0,1665.0,выход HDMI,PCI Express 4.0,нет,8 pin,7680x4320,2,8.0
"Видеокарта GIGABYTE GeForce RTX 3060 Ti GAMING OC 8G (GV-N306TGAMING OC-8GD) (rev. 1.0), Retail",69990,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1740.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
"Внешняя видеокарта MSI Radeon RX 6700 XT GAMING X 12GB, Retail",43990,Retail,игровая,внешняя видеокарта,12288.0,GDDR6,16000.0,192.0,2321.0,"выход DisplayPort x 3, выход HDMI, выход HDMI x 4, интерфейс USB Type-C",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,7.0
Видеокарта Colorful RTX3050 NB DUO V2-V 8GB GDDR6 128bit HDMI+DP+DL-DVI,29600,Retail,игровая,нет,8192.0,GDDR6,1552.0,128.0,1552.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка CUDA,6 pin,7680x4320,3,8.0
"Видеокарта GIGABYTE Radeon RX 6900 XT 16GB (GV-R69XT-16GC-B), Retail",87099,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6,16000.0,256.0,2015.0,"выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,7.0
Видеокарта MSI RTX4090 GAMING X TRIO 24GB,255315,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2282.5,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,4,4.0
Видеокарта COLORFUL GeForce GT 1030 4096Mb GT1030 4G-V,8175,Retail,игровая,нет,4096.0,GDDR4,1050.0,64.0,1152.0,"выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,3840x2160,2,16.0
"Видеокарта GIGABYTE GeForce GTX 1650 (GV-N1650D5-4GL), Retail",24190,Retail,игровая,нет,4096.0,GDDR5,8002.0,128.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE GeForce GTX 1650 (GV-N1650D5-4GL), Retail",24190,Retail,игровая,нет,4096.0,GDDR5,8002.0,128.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
Видеокарта ASUS Radeon RX 560 4GB,14429,Retail,игровая,нет,4096.0,GDDR5,7000.0,128.0,1149.0,выход DisplayPort x 2,PCI-E 16x,нет,8 pin,4096x2160,3,14.0
"Видеокарта Palit GeForce RTX 3090 GamingPro 24GB (NED3090019SB-132BA), Retail",74990,Retail,игровая,нет,24576.0,GDDR6X,19500.0,384.0,1395.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
Видеокарта MSI GeForce GT 620 1 Гб DDR3,2900,Retail,игровая,нет,1024.0,GDDR3,1333.0,64.0,755.0,выход VGA,PCI Express 2.0,нет,8 pin,4096x2160,2,40.0
Графический процессор NVIDIA TESLA T4 900-2G183-0000-000,194640,Retail,профессиональная,нет,16384.0,GDDR6,18000.0,256.0,2330.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,7.0
"Видеокарта Palit GeForce GTX 1660 SUPER GP OC 6GB (NE6166SS18J9-1160A), Retail",27035,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",8 pin,7680x4320,3,12.0
Видеокарта Radeon MSI HD5500 1GB,2100,Retail,игровая,нет,1024.0,GDDR3,1333.0,128.0,755.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 2.1,нет,8 pin,4096x2160,3,40.0
Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,239990,Retail,игровая,нет,24576.0,GDDR6X,2640.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,5.0
Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,239990,Retail,игровая,нет,24576.0,GDDR6X,2640.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,5.0
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта 12Gb PCI-E GDDR6 RADEON RX 6700XT XFX Speedster MERC319 HDMI+3xDP,33000,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1920.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,8.0
Видеокарта ASROCK INTEL Arc A750 CHALLENGER D OC 8G,30770,Retail,игровая,нет,8192.0,GDDR6,16000.0,256.0,2200.0,"выход DisplayPort x 2, выход HDMI",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,2,8.0
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта OCPC GeForce GTX 1660 DUAL 6G,20430,Retail,игровая,нет,6144.0,GDDR5,14000.0,192.0,1530.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта ASROCK INTEL Arc A750 CHALLENGER D OC 8G,30770,Retail,игровая,нет,8192.0,GDDR6,16000.0,256.0,2200.0,"выход DisplayPort x 2, выход HDMI",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,2,8.0
Видеокарта GIGABYTE GeForce GTX 1660 SUPER OC (GV-N166SOC-6GD Rev 1.0),29590,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
Видеокарта MSI GeForce RTX 4070 GAMING X TRIO 12G,82690,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,8.0
Видеокарта OCPC GeForce GTX 1660 DUAL 6G,20430,Retail,игровая,нет,6144.0,GDDR5,14000.0,192.0,1530.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта GIGABYTE GeForce RTX 4090 XTREME WATERFORCE 24G,205890,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,5.0
"Видеокарта Asus ROG-STRIX-RTX4090-O24G-GAMING /RTX4090,HDMI*2,DP*3,24G,D6X",222222,Retail,игровая,нет,24576.0,GDDR6X,2510.0,384.0,2210.0,выход HDMI,PCI Express 4.0,нет,8 pin,7680x4320,4,4.0
Видеокарта MSI GeForce RTX 4070 GAMING X TRIO 12G,82690,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,8.0
"Видеокарта GIGABYTE Intel Arc A310, GV-IA310WF2-4GD, 4Gb DDR6, 64bit, 2xHDMI/2xDP, 2xFan, RTL",11295,Retail,игровая,нет,4096.0,GDDR6,8000.0,64.0,1410.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта Gigabyte PCI-E 4.0 GV-N306TXEAGLE OC-8GD NV RTX3060Ti 8192Mb 256 GDDR6 1695/14000/HDMIx2/,59571,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта ASUS GeForce GT 730 2GB (GT730-2GD3-BRK-EVO), Retail",7800,Retail,игровая,нет,2048.0,GDDR3,4000.0,64.0,954.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,28.0
"Видеокарта GIGABYTE Radeon RX 6800 XT GAMING OC 16GB (GV-R68XTGAMING OC-16GD), Retail",60627,Retail,игровая,нет,16384.0,GDDR6,16000.0,256.0,2285.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce GTX 1650 D6 4G (rev. 2.0) (GV-N1656D6-4GD), Retail",16490,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,12000.0,128.0,1590.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",6 pin,7680x4320,3,12.0
Видеокарта ASRock RX7900XTX Taichi 24G OC,128205,Retail,игровая,нет,24000.0,GDDR6,20000.0,384.0,2510.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,5.0
Видеокарта ZOTAC GeForce RTX 3070Ti AMP EXTREME HOLO 8GB (ZT-A30710B-10P),64290,Retail,игровая,нет,8192.0,GDDR6X,14000.0,256.0,1665.0,выход HDMI,PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Introducing AMD Instinct MI100 accelerator Instinct MI100 Graphic Card,554380,OEM,игровая,нет,32768.0,HBM2,878.0,4096.0,1246.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта MSI RX 7900 XT GAMING TRIO CLASSIC 20G, Retail",92700,Retail,игровая,необходимость дополнительного питания,20480.0,GDDR6,20000.0,320.0,2400.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin+8 pin+8 pin,7680x4320,4,5.0
"Видеокарта MSI GeForce RTX 3060 Ti TWIN FAN 8GB, Retail",50533,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
Sapphire RX6950XT GAMING OC 16GB GDDR6 256-bit HDMI DPx3 LITE 11317-02-20G,87749,Retail,игровая,нет,16384.0,GDDR6,18000.0,256.0,2330.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,7.0
"Видеокарта PowerColor Radeon RX 6400 Low Profile 4GB (AXRX 6400 LP 4GBD6-DH), Retail",16215,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR6,16000.0,64.0,2321.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка Vulkan,8 pin,7680x4320,2,6.0
"Видеокарта NVIDIA Quadro T400 4GB, Retail",20680,Retail,профессиональная,низкопрофильная карта (Low Profile),4096.0,GDDR6,8000.0,64.0,1410.0,выход Mini DisplayPort x 3,PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,14.0
"Видеокарта AFOX GeForce GT 710 1Gb (AF710-1024D3L8), Retail",4100,Retail,игровая,нет,1024.0,GDDR3,1333.0,64.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,2560x1600,2,28.0
Видеокарта NVIDIA GeForce RTX 3090 Founders Edition 24 ГБ GDDR 6,110000,Retail,игровая,нет,24576.0,GDDR6,19500.0,384.0,1400.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,2,8.0
Видеокарта Gainward GTS 450 1GB DDR3,4375,Retail,игровая,нет,1024.0,GDDR3,902.0,128.0,783.0,выход HDMI,PCI Express 3.0,нет,6 pin,2560x1600,2,40.0
Видеокарта Sparkle GeForce 9600 GT 650Mhz PCI-E 2.0 512Mb 1800Mhz 256 bit 2xDVI TV HDCP YPrPb SPDIF,1170,Retail,игровая,необходимость дополнительного питания,512.0,GDDR3,1800.0,256.0,650.0,выход DVI x 2,PCI Express 2.0,поддержка CUDA,8 pin,2560x1600,2,65.0
Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,239990,Retail,игровая,нет,24576.0,GDDR6X,2640.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,5.0
Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,239990,Retail,игровая,нет,24576.0,GDDR6X,2640.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,5.0
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта 12Gb PCI-E GDDR6 RADEON RX 6700XT XFX Speedster MERC319 HDMI+3xDP,33000,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1920.0,выход HDMI,PCI Express 3.0,нет,8 pin,4096x2160,2,8.0
Видеокарта ASROCK INTEL Arc A750 CHALLENGER D OC 8G,30770,Retail,игровая,нет,8192.0,GDDR6,16000.0,256.0,2200.0,"выход DisplayPort x 2, выход HDMI",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,2,8.0
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
Видеокарта OCPC GeForce GTX 1660 DUAL 6G,20430,Retail,игровая,нет,6144.0,GDDR5,14000.0,192.0,1530.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта PALIT GeForce RTX 4070 DUAL OC 12G,74550,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,2,8.0
Видеокарта ASROCK INTEL Arc A750 CHALLENGER D OC 8G,30770,Retail,игровая,нет,8192.0,GDDR6,16000.0,256.0,2200.0,"выход DisplayPort x 2, выход HDMI",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,2,8.0
Видеокарта GIGABYTE GeForce GTX 1660 SUPER OC (GV-N166SOC-6GD Rev 1.0),29590,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
Видеокарта MSI GeForce RTX 4070 GAMING X TRIO 12G,82690,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,8.0
Видеокарта OCPC GeForce GTX 1660 DUAL 6G,20430,Retail,игровая,нет,6144.0,GDDR5,14000.0,192.0,1530.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта GIGABYTE GeForce RTX 4090 XTREME WATERFORCE 24G,205890,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,16 pin,7680x4320,2,5.0
"Видеокарта Asus ROG-STRIX-RTX4090-O24G-GAMING /RTX4090,HDMI*2,DP*3,24G,D6X",222222,Retail,игровая,нет,24576.0,GDDR6X,2510.0,384.0,2210.0,выход HDMI,PCI Express 4.0,нет,8 pin,7680x4320,4,4.0
Видеокарта PALIT GeForce RTX 4070 DUAL OC 12G,74550,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,2,8.0
"Видеокарта GIGABYTE Intel Arc A310, GV-IA310WF2-4GD, 4Gb DDR6, 64bit, 2xHDMI/2xDP, 2xFan, RTL",11295,Retail,игровая,нет,4096.0,GDDR6,8000.0,64.0,1410.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
